title,videoUrl,date,preacher,content,seriesTitle
"
Las Sagradas Escrituras (parte 1)",https://youtu.be/sQhJvi7f1Z4?si=ivhVIR_BRAFPulTO,2023-04-30,Pr. Cícero Neto,"Bibliología I. Revelación general y especial; Iluminación; Inerrancia e infalibilidad; Inspiración. 
",Confesión de Fe
"
Las Sagradas Escrituras (parte 2)",https://youtu.be/XMAGDCtAGX0?si=OVAl54G9zzBPaDY9,2023-05-07,Pr. Cícero Neto,"
Bibliología II. Sobre el canon del A.T. y N.T.; libros apócrifos; autoridad de las Escrituras e interpretación bíblica
",Confesión de Fe
Dios Uno es,https://youtu.be/x4oIk7D40bo?si=iTdted1ffgD5k1KJ,2023-05-14,Pr. Cícero Neto,"Hay un solo Dios vivo y verdadero.
Deuteronomio 6:4; 1 Tesalonicenses 1:9",Confesión de Fe
Dios creador,https://youtu.be/IiMpTE9gCwc?si=lBPUhjJlNRqm6abw,2023-05-21,Pr. Cícero Neto,"Dios creó, sustenta y gobierna todo según el designio de su voluntad
",Confesión de Fe
"Dios Soberano, Eterno",https://youtu.be/qtyj7vsk_0A?si=Mikow3XTBR1cli6L,2023-06-11,"José Santiago
","Dios es Personal, Eterno y Soberano",Confesión de Fe
"Dios Infinito, Perfecto
",https://youtu.be/AApjKr58cd0?si=v-6lY0F7IridJvrv,2023-06-18,Pr. Cícero Neto,"Dios es Espíritu, inmutable, Santo y Justo",Confesión de Fe
"Dios Bueno, Trino",https://youtu.be/PWhbGB0XpR8?si=6SG8EmKzAxqLhjGR,2023-06-25,Pr. Cícero Neto,"Trinidad",Confesión de Fe
La plenitud del tiempo,https://youtu.be/XdOclwRJraQ?si=Q32dHTSN6rt2yQm7,2023-07-02,Pr. Cícero Neto,"La humanidad y la divinidad de Jesús",Confesión de Fe
Humillación de Cristo,https://youtu.be/Qb5HmIdgG9w?si=asMNHSnjZRrKeyC3,2023-07-09,Pr. Cícero Neto,Los estados de Cristo (parte 1). Filipenses 2:5-11,Confesión de Fe
Exaltación de Cristo,https://youtu.be/17l3Wo4-Vok?si=OHYmpAv95KH8olV6,2023-07-23,Pr. Cícero Neto,Los estados de Cristo (parte 2). Filipenses 2:5-11,Confesión de Fe
"Rey, Profeta, Sacerdote",https://youtu.be/q5PcUqveCb4?si=CUahcFwy4d05fFK5,2023-09-10,"José Santiago
","Los oficios de Cristo
",Confesión de Fe
"Hijo de hombre, Señor, Jesús...",https://youtu.be/_fNdZsRQZYI?si=x_B-1p90-h8ByeK4,2023-10-01,Pr. Cícero Neto,"Los nombres de Cristo
",Confesión de Fe
Muerte vicaria y expiatoria de Cristo II,https://youtu.be/BJxYkqxa0-0?si=S0UdrX8mqhKYhNhe,2023-10-08,Pr. Cícero Neto,"El sacrificio sustitutivo de Cristo
",Confesión de Fe
Muerte vicaria y expiatoria de Cristo II,https://youtu.be/yo0V1LJe6_8?si=9ztiOvP2n5CIrNh0,2023-10-29,Pr. Cícero Neto,"Efectos, propósito y extensión de la obra de Cristo",Confesión de Fe
Intercesor y único mediador,https://youtu.be/uoDCtZdllSc?si=GtCVNhYsL8EkR6Yc,2023-11-05,Pr. Cícero Neto,"Jesús como nuestro intercesor y único mediador
",Confesión de Fe
Espíritu Santo,https://youtu.be/HpJGpzxdMaI?si=2037JH1hi1VV_Ivt,2024-01-28,Pr. Cícero Neto,"Personalidad, Divinidad e Iluminación del Espíritu Santo
",Confesión de Fe
Obras del Espíritu Santo,https://youtu.be/_o9-p-e_4OI?si=V1-EiWLn9em-6DC_,2024-02-04,Pr. Cícero Neto,"El Espíritu Santo aplica la obra de Cristo",Confesión de Fe
Bautismo en el Espíritu Santo,https://youtu.be/y166pcEnnZI?si=7_hO6Um24tlL6lE9,2024-02-18,Pr. Cícero Neto,"Venida y morada del Espíritu Santo en el creyente",Confesión de Fe
"Llenura del Espíritu Santo",https://youtu.be/nVJiuxeNkgo?si=3M2g6Gg42htKOCBU,2024-02-25,Pr. Cícero Neto,"Llenura del Espíritu Santo",Confesión de Fe
"Los frutos del Espíritu Santo
",https://youtu.be/V0THwpm6png?si=x25CpCJk6gWK3jI7,2024-03-10,"Nelson Abad
","Los frutos del Espíritu y las obras de la carne.
Galatas 5:22
",Confesión de Fe
"Los Dones del Espíritu Santo
",https://youtu.be/JTpEL-_Mrds?si=JHyVXxWM1Qbyx1Pj,2024-03-17,Pr. Cícero Neto,"¿Qué son los dones y como descubrir cuáles tengo?
",Confesión de Fe
"Los dones ""Milagrosos""",https://youtu.be/xXOo-SQoS4U?si=k4vVoUH0cdRgyq2V,2024-03-24,Pr. Cícero Neto,"Apostolado, Profecía, Lenguas y Sanidades",Confesión de Fe
No desperdicies tus dones,https://youtu.be/XTwAVL02FB4?si=7NZ2UkdqIHMQTXyU,2024-04-07,Pr. Cícero Neto,"Usa tus dones",Confesión de Fe
"Los Ángeles
",https://youtu.be/DSaddbls_T0?si=4WRIywGNt59TXQYh,2024-05-05,Pr. Cícero Neto,"Los Ángeles de Dios",Confesión de Fe
Satanás y sus demonios,https://youtu.be/GhYjI5acZxM?si=9tD1ZmBO9oQi3gab,2024-05-12,Pr. Cícero Neto,"Los Ángeles malos
",Confesión de Fe
Una batalla espiritual,https://youtu.be/ACrPV7YFxJs?si=0IFlMM6OnghzhPuz,2024-05-19,Pr. Cícero Neto,"Remédios contras las artimañas del diablo",Confesión de Fe
Textos difíciles sobre los ángeles,https://youtu.be/87gFPAKckfo?si=_sM72L_dEGpkEAlC,2024-06-02,Pr. Cícero Neto,"¿Los gigantes son descendientes de ángeles?
",Confesión de Fe
Antropología Teológica,https://youtu.be/WoovqBZjgCs?si=XbgbciQSbYzG_0v-,2024-09-22,Pr. Cícero Neto,"Elo Hombre. ¿Creados o evolucionados?
",Confesión de Fe
Constitución del hombre,https://youtu.be/YZNheQUr5sk?si=rL2isiLtDesLSMIU,2024-09-22,Pr. Cícero Neto,"¿Dicotomía o tricotomía? ¿Cuando recibimos cada individuo un alma?",Confesión de Fe
Pacto de obras,https://youtu.be/pMmeUtXKD6s?si=HKrzdqM0EINBLH4q,2024-10-13,Pr. Cícero Neto,"El estado original del hombre",Confesión de Fe
Pecado original,https://youtu.be/cpaIPw3QFzQ?si=1wgjrJ4gWdKAmdW-,2024-10-27,"José Santiago
","La imputación del pecado de Adán a su posteridad",Confesión de Fe
Hamartiología,https://youtu.be/ZvFncItndAc?si=YLwWb2kYNqiGhrAr,2024-11-03,Pr. Cícero Neto,"Doctrina del pecado",Confesión de Fe
El pecado imperdonable,https://youtu.be/URB-lrB0AO4?si=ATTwoVWOaEKejxcM,2024-12-08,Pr. Cícero Neto,"La blasfemia contra el Espíritu Santo (Mateo 12:22-37)",Confesión de Fe
Predestinación. Llamamiento.,https://youtu.be/2_fb6gG89zo?si=2Nq06SnQGlQvaUfS,2025-02-09,Pr. Cícero Neto,"Soteriología 1",Confesión de Fe
Arrepentimiento,https://youtu.be/EqfCunK7I0o?si=HgfNJpWxC6-igeia,2025-02-16,Pr. Cícero Neto,"¿Arrepentimiento o remordimiento?",Confesión de Fe
Fe (parte 1),https://youtu.be/lcacFYCjvj4?si=y9SkLa5Nj7Hy7SYj,2025-02-23,Pr. Cícero Neto,"¿Qué es la fe salvadora?
",Confesión de Fe
Fe (parte 2),https://youtu.be/smgfFS2B4Ps?si=if9lmObWMJrKuDEn,2025-03-02,Pr. Cícero Neto,"Los diferentes tipos de fe",Confesión de Fe
Conversión,https://youtu.be/dcyB4GvzTRo?si=nX6KXdJ1XXmC6fDo,2025-02-09,Pr. Cícero Neto,"¿Conversión en un momento o gradual? ¿Y los niños se convierten?",Confesión de Fe
